PermissionResolver     inserted (4083 bytes)
VAHelper               inserted (7311 bytes)
NotificationService    inserted (8288 bytes)
GroupManager           inserted (7374 bytes)
CatalogService         inserted (20116 bytes)
ScheduleManager        inserted (4401 bytes)
ExecutionEngine        inserted (27233 bytes)
ApprovalRouter         inserted (7701 bytes)
OnboardingService      inserted (14533 bytes)
DeactivationHandler    inserted (11817 bytes)
FlowBridge             inserted (4781 bytes)
RESTBridge             inserted (4558 bytes)
CopilotBridge          inserted (8121 bytes)
AuditService           inserted (2475 bytes)
MaintenanceManager     inserted (7487 bytes)
ArtifactManager        inserted (12073 bytes)
ReportBuilder          inserted (5084 bytes)
NotificationBuilder    inserted (6469 bytes)
FlowBuilder            inserted (5845 bytes)
TableBuilder           inserted (5522 bytes)
UIPageBuilder          inserted (3542 bytes)
=== deployed 21, failed 0, missing 0 of 21 ===
